YEAR,region,agro_ecological_zone,season,environment_condition,latitude,longitude,elevation,rainfall_mm,mean_temperature,soil_type,soil_pH,soil_N_content,soil_P_content,soil_K_content,ENTRY,Pedigree,Name,breeding_institution,maturity_group,rep,days_to_anthesis,Days_to_silking,anthesis_silking_interval,plant_height,ear_height,husk_cover,plant_aspect,field_weight,ear_harvested,ear_per_plant,ear_aspect,grain_moisture,grain_yield,staygreen
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,24,SMLW-11 x SAM 50 Male,SAMMAZ-24,IAR,late,1,57,60,3,150,81,2,1.5,1.4,14,1,2,9.2,5640.28,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,24,SMLW-11 x SAM 50 Male,SAMMAZ-24,IAR,late,2,62,66,4,170,80,3,4,0.33,4,1,5,11.6,1232.1,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,25,SMLW-14 x IITA 1876,SAMMAZ-25,IAR,late,1,64,69,5,135,80,2.5,3.5,0.51,11,0.92,3,12.5,1873.99,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,25,SMLW-14 x IITA 1876,SAMMAZ-25,IAR,late,2,67,72,5,127,80,2,3.5,0.05,9,1,5,12.5,194.9,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,26,SMLW-14 x IITA 1878,SAMMAZ-26,IAR,late,1,55,56,1,193,80,2,2,0.5,7,1,2,10.5,3971.09,1
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,26,SMLW-14 x IITA 1878,SAMMAZ-26,IAR,late,2,66,71,5,155,79,2,3.5,0.08,4,0.67,5,12.5,303.61,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,27,SMLW-14 x SAM 50 Male,SAMMAZ-27,IAR,late,1,63,68,5,169,78,2,3.5,0.71,9,1,5,12.5,2614.71,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,27,SMLW-14 x SAM 50 Male,SAMMAZ-27,IAR,late,2,65,67,2,183,78,2,2,0.69,9,0.9,3,12.5,2525.49,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,28,SMLW-16 x IITA 1876,SAMMAZ-28,IAR,Intermediate,1,67,69,2,192,78,2,3.5,0.48,6,0.5,5,10.5,1814.99,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,28,SMLW-16 x IITA 1876,SAMMAZ-28,IAR,Intermediate,2,55,57,2,157,77,2,2.5,1.3,10,0.83,2,12.6,703.48,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,29,SMLW-16 x IITA 1878,SAMMAZ-29,IAR,Intermediate,1,67,69,2,130,77,2,2.5,0.08,1,0.33,4,12.5,276.71,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,29,SMLW-16 x IITA 1878,SAMMAZ-29,IAR,Intermediate,2,66,71,5,151,77,2,3,0.49,12,1,5,9.8,1848.81,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,30,SMLW-16 x SAM 50 Male,SAMMAZ-30,IAR,Intermediate,1,67,72,5,125,77,2,4,0.1,9,0.69,5,12.5,362.35,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,30,SMLW-16 x SAM 50 Male,SAMMAZ-30,IAR,Intermediate,2,57,59,2,167,76,2,2.5,0.4,14,1.4,4,10,2236.24,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,31,SMLW-17 x IITA 1876,SAMMAZ-31,IAR,Intermediate,1,70,71,1,179,76,2,3,0.19,6,0.67,5,12.5,711.53,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,31,SMLW-17 x IITA 1876,SAMMAZ-31,IAR,Intermediate,2,55,57,2,193,76,2,2,1,15,1,1,12.6,4759.04,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,32,SMLW-17 x IITA 1878,SAMMAZ-32,IAR,Intermediate,1,68,71,3,180,75,2,3,0.24,6,0.67,5,12.5,863.79,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,32,SMLW-17 x IITA 1878,SAMMAZ-32,IAR,Intermediate,2,61,64,3,152,75,2,3.5,0.82,4,0.67,5,9.2,3116.17,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,33,SMLW-17 x SAM 50 Male,SAMMAZ-33,IAR,Intermediate,1,63,65,2,145,75,2,3,1.2,13,1,3,12.5,5017.19,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,33,SMLW-17 x SAM 50 Male,SAMMAZ-33,IAR,Intermediate,2,58,60,2,150,75,2,2,0.6,10,0.83,3,10.5,2779.76,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,34,SMLW-19 x IITA 1876,SAMMAZ-34,IAR,Intermediate,1,57,60,3,172,74,2,2,0.6,11,0.79,2,9.7,6964.94,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,34,SMLW-19 x IITA 1876,SAMMAZ-34,IAR,Intermediate,2,62,65,3,194,73,2,3,0.04,5,0.5,3,12.5,140,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,35,SMLW-19 x IITA 1878,SAMMAZ-35,IAR,Intermediate,1,62,67,5,165,73,1,3.5,0.6,6,1,5,12.5,2199.01,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,35,SMLW-19 x IITA 1878,SAMMAZ-35,IAR,Intermediate,2,70,72,2,137,73,2,1.5,0.12,4,0.8,5,12.5,439.22,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,36,SMLW-19 x SAM 50 Male,SAMMAZ-36,IAR,Intermediate,1,62,67,5,152,73,2,3.5,0.54,11,0.92,4,9,2055.53,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,36,SMLW-19 x SAM 50 Male,SAMMAZ-36,IAR,Intermediate,2,70,71,1,150,73,2,3.5,0.22,4,0.67,5,12.5,793.22,7
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,37,SMLW-20 x IITA 1876,SAMMAZ-37,IAR,Intermediate,1,58,62,4,167,72,2,3,0.24,3,0.75,5,12.5,884.36,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,37,SMLW-20 x IITA 1876,SAMMAZ-37,IAR,Intermediate,2,69,71,2,130,72,2,3.5,0.2,3,0.5,5,12.5,745.79,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,38,SMLW-20 x IITA 1878,SAMMAZ-38,IAR,Intermediate,1,66,69,3,135,71,1.5,2,0.5,4,1,2.5,12.5,6794.12,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,38,SMLW-20 x IITA 1878,SAMMAZ-38,IAR,Intermediate,2,63,68,5,123,71,2,3.5,0.03,1,1,5,12.5,109.8,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,39,SMLW-20 x SAM 50 Male,SAMMAZ-39,IAR,Intermediate,1,64,68,4,115,71,2,3.5,0.06,7,0.7,5,12.5,207.53,7
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,39,SMLW-20 x SAM 50 Male,SAMMAZ-39,IAR,Intermediate,2,55,57,2,166,71,2,2,0.15,7,1,3,12.5,1180.24,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,40,SMLW-21 x IITA 1876,SAMMAZ-40,IAR,Intermediate,1,52,56,4,145,70,2,3,0.2,5,1,3,7.4,9039.36,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,40,SMLW-21 x IITA 1876,SAMMAZ-40,IAR,Intermediate,2,69,72,3,168,70,2,2.5,0.1,5,0.83,3,12.5,351.37,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,41,SMLW-21 x IITA 1878,SAMMAZ-41,IAR,Intermediate,1,64,68,4,170,70,2.5,3,0.19,3,1,3,12.5,702.75,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,41,SMLW-21 x IITA 1878,SAMMAZ-41,IAR,Intermediate,2,61,66,5,163,70,3,4,0.18,8,0.73,5,12.5,658.82,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,42,SMLW-21 x SAM 50 Male,SAMMAZ-42,IAR,Intermediate,1,62,65,3,169,70,2,3,0.4,4,1,2.5,12.5,5435.29,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,42,SMLW-21 x SAM 50 Male,SAMMAZ-42,IAR,Intermediate,2,63,67,4,125,70,1.5,4,0.45,8,1.33,2,12.5,4076.47,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,43,SMLW-22 x IITA 1876,SAMMAZ-43,IAR,Extra-Early,1,63,67,4,136,69,2.5,3,0.14,3,1,3,12.5,494.85,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,43,SMLW-22 x IITA 1876,SAMMAZ-43,IAR,Extra-Early,2,51,53,2,146,69,2,2.5,0.6,11,0.79,3,10.5,4907.29,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,44,SMLW-22 x IITA 1878,SAMMAZ-44,IAR,Extra-Early,1,62,67,5,90,68,2,2.5,0.17,12,1,4,12.5,636.86,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,44,SMLW-22 x IITA 1878,SAMMAZ-44,IAR,Extra-Early,2,66,71,5,153,68,1,3,0.2,7,0.7,5,11.8,737.88,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,45,SMLW-22 x SAM 50 Male,SAMMAZ-45,IAR,Extra-Early,1,54,56,2,172,68,2,2,1.4,12,1,3,9,6594.82,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,45,SMLW-22 x SAM 50 Male,SAMMAZ-45,IAR,Extra-Early,2,63,67,4,139,67,2,3,0.2,2,1,3,12.5,5435.29,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,46,SMLW-23 x IITA 1876,SAMMAZ-46,IAR,Extra-Early,1,64,69,5,152,67,2,3,0.78,5,0.71,3,7.1,3031.09,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,46,SMLW-23 x IITA 1876,SAMMAZ-46,IAR,Extra-Early,2,55,57,2,154,67,3,3,0.36,3,0.5,4,12.5,3297.41,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,47,SMLW-23 x IITA 1878,SAMMAZ-47,IAR,Extra-Early,1,63,66,3,157,66,2,3.5,0.04,2,1,5,12.5,130.53,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,47,SMLW-23 x IITA 1878,SAMMAZ-47,IAR,Extra-Early,2,63,65,2,173,66,2,3.5,0.14,13,0.87,5,12.5,510.59,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,48,SMLW-23 x SAM 50 Male,SAMMAZ-48,IAR,Extra-Early,1,64,67,3,110,66,1.5,3.5,0.6,9,1,3.5,12.5,3623.53,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,48,SMLW-23 x SAM 50 Male,SAMMAZ-48,IAR,Extra-Early,2,55,60,5,177,65,4,5,0.11,4,1,4,12.5,1467.53,3
